word,f1,f2,f3
FGD,5520000,5520000,5590000
FGE,4630000,4650000,4490000
FGH,6540000,6560000,6600000
FGJ,2500000,2510000,2540000
FGM,11000000,11000000,10800000
FGN,7030000,7110000,6740000
FGP,2910000,2920000,2890000
FGR,7260000,7300000,7220000
FGS,7760000,7800000,8300000
FGT,18100000,18200000,17800000
FHB,5970000,6110000,6230000
FHC,2770000,8230000,8250000
FHD,20400000,70400000,69900000
FHE,15800000,14100000,14100000
FHG,8130000,8160000,8120000
FHJ,2420000,2430000,2410000
FHK,2450000,2480000,2460000
FHM,19800000,19900000,19800000
FHN,5340000,5360000,5410000
FHP,5750000,5800000,2500000
FHS,3720000,8200000,2540000
FHT,5990000,5990000,5890000
FHW,2910000,2920000,13400000
FJB,3530000,21200000,21000000
FJE,2170000,2130000,2130000
FJG,2990000,2980000,2950000
FJH,2980000,2960000,2920000
FJK,3590000,18500000,3460000
FJM,3850000,3890000,3910000
FJN,2110000,2100000,2040000
FJP,2530000,2530000,2540000
FJS,7370000,7380000,7340000
FJT,3580000,3540000,3510000
FJW,2160000,2160000,2130000
FKC,3560000,3610000,3690000
FKD,12200000,12300000,12100000
FKH,2690000,2700000,2690000
FKJ,2800000,2810000,2790000
FKM,8570000,8630000,8520000
FKN,5800000,5900000,5930000
FKP,10100000,10200000,10300000
FKR,3150000,3160000,3130000
FKT,3960000,3980000,3900000
FKW,2010000,2020000,2010000
FMB,2250000,6770000,6770000
FMC,6310000,22400000,22200000
FMD,9940000,9960000,9900000
FMJ,5920000,5840000,2460000
FMK,4990000,5020000,4520000
FMP,9520000,9550000,3060000
FMR,9300000,9340000,9140000
FMT,24900000,25000000,24700000
FMW,3370000,3410000,3450000
FNE,5180000,5150000,6710000
FNG,4430000,4420000,4390000
FNH,4750000,4790000,4760000
FNK,3110000,3130000,3120000
FNM,3190000,8510000,8320000
FNP,9030000,14100000,9310000
FNS,4670000,15100000,14900000
